"ein","org_name","ntee_program","num_programs","is_501c3","day_of_week","date_mdy","date_dmy","month_abbr","month_ym","hour_ampm","event_ts","rule_year","age_years"
"785661467","Organization F 192","Arts",5,FALSE,"TUE","01-12-2016","12-01-16","JAN","2016-01","1:10pm","2016-01-12 09:14:53 MST",1976,50
"207749362","Organization N 416","Education",6,TRUE,"THU","09-29-2016","29-09-16","SEP","2016-09","4:07pm","2016-09-29 18:37:08 MST",1955,71
"381848921","Organization N 525","Human Services",7,TRUE,"WED","03-02-2016","02-03-16","MAR","2016-03","3:38am","2016-03-02 02:35:32 MST",1997,29
"107326985","Organization G 894","Human Services",5,TRUE,"THU","03-17-2016","17-03-16","MAR","2016-03","1:52am","2016-03-17 21:14:07 MST",2011,15
"262067394","Organization B 950","Health",8,FALSE,"FRI","02-09-2018","09-02-18","FEB","2018-02","12:19pm","2018-02-09 12:32:41 MST",1958,68
"669870016","Organization X 993","Education",5,TRUE,"SAT","08-06-2016","06-08-16","AUG","2016-08","1:27pm","2016-08-06 15:25:10 MST",1957,69
"694223544","Organization P 395","Health",7,TRUE,"WED","08-01-2018","01-08-18","AUG","2018-08","4:53pm","2018-08-01 06:17:05 MST",2013,13
"347902126","Organization D 793","Arts",9,TRUE,"TUE","08-08-2017","08-08-17","AUG","2017-08","9:22pm","2017-08-08 17:29:32 MST",2007,19
"285101185","Organization Q 848","Human Services",9,FALSE,"SAT","03-10-2018","10-03-18","MAR","2018-03","2:55am","2018-03-10 03:57:48 MST",1992,34
"432679339","Organization N 739","Human Services",7,TRUE,"SAT","08-26-2017","26-08-17","AUG","2017-08","11:32am","2017-08-26 13:57:47 MST",2015,11
"571611601","Organization M 129","Human Services",8,FALSE,"SAT","11-07-2015","07-11-15","NOV","2015-11","10:59pm","2015-11-07 07:33:23 MST",2013,13
"302051477","Organization S 506","Education",9,TRUE,"FRI","06-30-2017","30-06-17","JUN","2017-06","9:55pm","2017-06-30 03:45:03 MST",1959,67
"244382250","Organization Y 911","Arts",5,TRUE,"MON","04-18-2016","18-04-16","APR","2016-04","5:18pm","2016-04-18 03:42:04 MST",1996,30
"823001064","Organization E 701","Human Services",3,TRUE,"TUE","03-21-2017","21-03-17","MAR","2017-03","8:15am","2017-03-21 21:55:35 MST",1974,52
"853009271","Organization G 238","Environment",3,TRUE,"WED","02-11-2015","11-02-15","FEB","2015-02","3:39pm","2015-02-11 04:55:08 MST",1988,38
"796174344","Organization K 527","Human Services",6,TRUE,"SUN","01-29-2017","29-01-17","JAN","2017-01","10:51pm","2017-01-29 20:26:32 MST",1977,49
"365121946","Organization I 125","Environment",10,TRUE,"THU","06-28-2018","28-06-18","JUN","2018-06","2:49pm","2018-06-28 11:40:57 MST",1990,36
"749244875","Organization U 857","Arts",5,TRUE,"SUN","01-25-2015","25-01-15","JAN","2015-01","7:52am","2015-01-25 14:20:16 MST",2011,15
"184781259","Organization K 617","Arts",4,TRUE,"SAT","12-03-2016","03-12-16","DEC","2016-12","4:09am","2016-12-03 22:01:09 MST",2011,15
"701860883","Organization L 345","Education",7,TRUE,"FRI","06-15-2018","15-06-18","JUN","2018-06","9:09pm","2018-06-15 17:30:08 MST",1974,52
"754283759","Organization V 947","Human Services",5,FALSE,"THU","06-09-2016","09-06-16","JUN","2016-06","11:18am","2016-06-09 03:37:16 MST",1963,63
"587990933","Organization D 286","Education",12,FALSE,"WED","09-14-2016","14-09-16","SEP","2016-09","12:53am","2016-09-14 11:03:00 MST",1981,45
"255423308","Organization B 607","Environment",9,TRUE,"SAT","09-19-2015","19-09-15","SEP","2015-09","10:12am","2015-09-19 21:43:00 MST",2000,26
"544913507","Organization V 643","Health",5,TRUE,"MON","07-31-2017","31-07-17","JUL","2017-07","11:22pm","2017-07-31 03:05:26 MST",2000,26
"218701792","Organization T 687","Arts",1,TRUE,"MON","10-26-2015","26-10-15","OCT","2015-10","1:43pm","2015-10-26 06:53:24 MST",1957,69
"308459933","Organization P 501","Environment",11,TRUE,"TUE","12-20-2016","20-12-16","DEC","2016-12","1:39am","2016-12-20 06:49:25 MST",1985,41
"502322797","Organization Q 711","Human Services",3,TRUE,"MON","01-04-2016","04-01-16","JAN","2016-01","4:52am","2016-01-04 11:00:16 MST",1972,54
"680992414","Organization R 912","Environment",5,TRUE,"THU","05-26-2016","26-05-16","MAY","2016-05","10:37am","2016-05-26 04:51:18 MST",1964,62
"890407450","Organization X 100","Human Services",7,TRUE,"FRI","01-27-2017","27-01-17","JAN","2017-01","5:53am","2017-01-27 11:53:55 MST",1987,39
"545138878","Organization B 977","Arts",9,TRUE,"WED","10-24-2018","24-10-18","OCT","2018-10","12:38am","2018-10-24 03:16:46 MST",1994,32
"118561463","Organization C 571","Education",6,FALSE,"MON","01-23-2017","23-01-17","JAN","2017-01","11:59pm","2017-01-23 13:50:24 MST",1974,52
"748763321","Organization U 446","Arts",7,TRUE,"THU","03-09-2017","09-03-17","MAR","2017-03","9:38pm","2017-03-09 13:03:04 MST",2007,19
"765550631","Organization I 68","Human Services",5,TRUE,"THU","05-11-2017","11-05-17","MAY","2017-05","3:36pm","2017-05-11 13:40:25 MST",1991,35
"484921290","Organization N 208","Education",1,TRUE,"FRI","06-01-2018","01-06-18","JUN","2018-06","5:00am","2018-06-01 11:42:47 MST",1960,66
"801603788","Organization N 351","Arts",8,TRUE,"SUN","02-12-2017","12-02-17","FEB","2017-02","5:50am","2017-02-12 01:44:14 MST",1983,43
"108277070","Organization B 64","Environment",6,FALSE,"TUE","05-22-2018","22-05-18","MAY","2018-05","2:55am","2018-05-22 05:10:20 MST",2000,26
"816472628","Organization T 804","Arts",10,TRUE,"WED","10-21-2015","21-10-15","OCT","2015-10","9:42pm","2015-10-21 08:20:01 MST",1958,68
"725749211","Organization A 604","Education",10,TRUE,"MON","08-29-2016","29-08-16","AUG","2016-08","3:33pm","2016-08-29 21:37:53 MST",1981,45
"891378643","Organization W 39","Education",6,FALSE,"THU","02-02-2017","02-02-17","FEB","2017-02","8:49am","2017-02-02 23:55:11 MST",1963,63
"611595341","Organization L 584","Arts",1,TRUE,"TUE","02-21-2017","21-02-17","FEB","2017-02","12:22am","2017-02-21 08:04:01 MST",1994,32
"238799777","Organization M 492","Arts",6,TRUE,"WED","06-29-2016","29-06-16","JUN","2016-06","2:41am","2016-06-29 03:50:38 MST",1977,49
"430714589","Organization Z 773","Arts",5,TRUE,"TUE","03-01-2016","01-03-16","MAR","2016-03","11:37pm","2016-03-01 03:07:10 MST",2002,24
"122903686","Organization E 789","Human Services",4,TRUE,"FRI","04-15-2016","15-04-16","APR","2016-04","8:52am","2016-04-15 04:36:54 MST",1980,46
"646120507","Organization A 412","Human Services",6,FALSE,"TUE","07-07-2015","07-07-15","JUL","2015-07","12:35pm","2015-07-07 23:37:59 MST",1966,60
"170897060","Organization H 718","Human Services",6,TRUE,"FRI","09-11-2015","11-09-15","SEP","2015-09","2:11am","2015-09-11 18:05:27 MST",1964,62
"276666270","Organization H 746","Health",7,TRUE,"FRI","09-25-2015","25-09-15","SEP","2015-09","6:52am","2015-09-25 03:35:31 MST",2000,26
"208077698","Organization W 287","Environment",5,TRUE,"SAT","10-01-2016","01-10-16","OCT","2016-10","10:05pm","2016-10-01 16:26:04 MST",2009,17
"856589727","Organization K 378","Environment",8,TRUE,"TUE","12-04-2018","04-12-18","DEC","2018-12","1:16pm","2018-12-04 08:15:50 MST",1997,29
"548548235","Organization C 879","Education",5,TRUE,"TUE","02-10-2015","10-02-15","FEB","2015-02","4:45pm","2015-02-10 15:17:20 MST",1977,49
"386058383","Organization N 493","Education",4,TRUE,"TUE","05-01-2018","01-05-18","MAY","2018-05","8:00pm","2018-05-01 00:25:44 MST",2008,18
"536482916","Organization U 692","Environment",7,TRUE,"MON","04-03-2017","03-04-17","APR","2017-04","8:58pm","2017-04-03 04:28:48 MST",2011,15
"396921095","Organization A 589","Environment",11,TRUE,"TUE","10-25-2016","25-10-16","OCT","2016-10","3:42pm","2016-10-25 20:18:45 MST",1981,45
"190223954","Organization W 901","Health",1,TRUE,"FRI","01-26-2018","26-01-18","JAN","2018-01","9:55pm","2018-01-26 09:16:51 MST",1988,38
"515962510","Organization I 685","Health",1,TRUE,"MON","06-20-2016","20-06-16","JUN","2016-06","10:19am","2016-06-20 22:28:03 MST",1970,56
"808902139","Organization G 117","Human Services",2,TRUE,"MON","12-14-2015","14-12-15","DEC","2015-12","6:25am","2015-12-14 22:46:11 MST",2000,26
"692236637","Organization A 954","Arts",8,TRUE,"FRI","04-17-2015","17-04-15","APR","2015-04","3:56pm","2015-04-17 04:42:37 MST",1979,47
"183720764","Organization W 294","Arts",10,TRUE,"FRI","11-13-2015","13-11-15","NOV","2015-11","1:59pm","2015-11-13 18:59:46 MST",1982,44
"362289216","Organization W 450","Human Services",4,TRUE,"FRI","11-03-2017","03-11-17","NOV","2017-11","4:18am","2017-11-03 04:01:14 MST",1969,57
"509509694","Organization C 78","Arts",12,TRUE,"THU","06-11-2015","11-06-15","JUN","2015-06","12:55pm","2015-06-11 17:11:09 MST",2003,23
"845668994","Organization A 657","Education",8,TRUE,"TUE","09-27-2016","27-09-16","SEP","2016-09","9:36pm","2016-09-27 17:01:09 MST",1992,34
"454431140","Organization N 155","Education",8,FALSE,"TUE","12-06-2016","06-12-16","DEC","2016-12","1:02am","2016-12-06 18:03:14 MST",1977,49
"444679877","Organization A 276","Health",6,TRUE,"SAT","06-24-2017","24-06-17","JUN","2017-06","11:44pm","2017-06-24 12:09:39 MST",2015,11
"503039181","Organization F 931","Environment",8,TRUE,"MON","03-06-2017","06-03-17","MAR","2017-03","6:18am","2017-03-06 15:21:00 MST",1973,53
"225031276","Organization L 719","Arts",8,FALSE,"WED","09-21-2016","21-09-16","SEP","2016-09","4:52am","2016-09-21 20:14:57 MST",1964,62
"250128438","Organization M 267","Environment",4,TRUE,"SUN","11-26-2017","26-11-17","NOV","2017-11","9:56am","2017-11-26 07:27:09 MST",1967,59
"722410273","Organization E 469","Human Services",4,TRUE,"WED","03-07-2018","07-03-18","MAR","2018-03","12:49pm","2018-03-07 18:31:31 MST",1992,34
"539411822","Organization D 223","Health",4,TRUE,"WED","10-24-2018","24-10-18","OCT","2018-10","8:19pm","2018-10-24 14:04:48 MST",1955,71
"724783042","Organization L 619","Human Services",3,TRUE,"THU","10-05-2017","05-10-17","OCT","2017-10","6:30pm","2017-10-05 06:12:01 MST",1965,61
"731435792","Organization D 431","Arts",6,TRUE,"SAT","02-11-2017","11-02-17","FEB","2017-02","12:13am","2017-02-11 15:57:11 MST",1999,27
"647558720","Organization W 262","Environment",11,TRUE,"THU","03-19-2015","19-03-15","MAR","2015-03","6:33pm","2015-03-19 11:28:18 MST",1980,46
"133339764","Organization M 859","Human Services",6,TRUE,"THU","06-09-2016","09-06-16","JUN","2016-06","1:32pm","2016-06-09 08:14:43 MST",2012,14
"778121665","Organization K 28","Environment",5,TRUE,"THU","01-25-2018","25-01-18","JAN","2018-01","11:53pm","2018-01-25 11:15:15 MST",1964,62
"298815217","Organization N 458","Health",7,TRUE,"WED","04-27-2016","27-04-16","APR","2016-04","11:21pm","2016-04-27 17:39:25 MST",2013,13
"792476645","Organization V 419","Environment",5,TRUE,"WED","07-01-2015","01-07-15","JUL","2015-07","9:45am","2015-07-01 14:45:53 MST",1999,27
"616234888","Organization R 430","Environment",10,TRUE,"SAT","02-24-2018","24-02-18","FEB","2018-02","2:06pm","2018-02-24 04:59:20 MST",1969,57
"401699706","Organization Y 899","Health",4,TRUE,"MON","09-18-2017","18-09-17","SEP","2017-09","11:46pm","2017-09-18 19:59:31 MST",1971,55
"116652886","Organization J 817","Education",7,TRUE,"THU","12-03-2015","03-12-15","DEC","2015-12","3:54pm","2015-12-03 09:21:24 MST",2001,25
"845938169","Organization B 587","Arts",4,TRUE,"WED","06-22-2016","22-06-16","JUN","2016-06","1:37pm","2016-06-22 02:22:07 MST",1962,64
"538265377","Organization U 745","Environment",3,TRUE,"WED","04-18-2018","18-04-18","APR","2018-04","11:43am","2018-04-18 12:14:40 MST",1990,36
"355425609","Organization H 596","Human Services",2,TRUE,"WED","05-17-2017","17-05-17","MAY","2017-05","1:51am","2017-05-17 17:22:33 MST",1960,66
"645117867","Organization G 851","Human Services",6,FALSE,"FRI","07-31-2015","31-07-15","JUL","2015-07","1:42am","2015-07-31 20:37:14 MST",1964,62
"266963676","Organization Q 877","Arts",3,TRUE,"MON","07-20-2015","20-07-15","JUL","2015-07","8:09am","2015-07-20 15:33:17 MST",2014,12
